,date,ft
27,2016-11-19,2
61,2016-12-11,4
67,2016-12-26,0
78,2016-12-28,2
31,2017-01-03,2
62,2017-01-04,1
57,2017-01-18,1
36,2017-01-29,2
8,2017-01-30,3
9,2017-01-30,2
53,2017-02-07,4
70,2017-02-17,4
49,2017-04-03,5
39,2017-05-28,6
24,2017-09-01,8
10,2017-09-04,7
22,2017-09-17,8
3,2017-09-30,9
34,2018-01-08,10
55,2018-06-01,11
5,2018-06-21,12
26,2018-08-14,13
35,2018-08-14,13
47,2018-10-11,14
69,2018-10-11,14
23,2019-02-21,15
38,2019-04-17,16
77,2019-04-29,15
17,2019-04-29,15
14,2019-04-29,15
32,2019-07-15,20
44,2019-07-29,17
43,2019-07-29,16
41,2019-07-29,16
56,2019-07-29,16
51,2019-09-09,17
54,2019-11-10,16
13,2019-12-15,18
29,2019-12-15,25
58,2019-12-15,22
68,2019-12-15,17
52,2020-03-28,18
33,2020-05-07,19
82,2020-05-08,20
79,2020-05-25,19
6,2020-06-06,19
0,2020-06-16,24
18,2020-07-03,21
74,2020-08-16,21
64,2020-08-25,23
2,2020-09-09,22
60,2020-09-11,25
72,2020-10-26,24
28,2020-12-16,24
81,2020-12-18,26
66,2021-02-02,25
83,2021-03-09,24
46,2021-03-11,25
63,2021-05-06,24
45,2021-05-08,24
4,2021-05-09,25
19,2021-05-12,25
12,2021-05-12,24
75,2021-05-22,24
7,2021-05-29,25
59,2021-05-30,24
21,2021-06-04,24
37,2021-06-18,24
71,2021-06-21,25
76,2021-06-22,24
16,2021-06-24,24
73,2021-07-02,24
20,2021-07-18,27
65,2021-07-18,25
30,2021-08-05,26
15,2021-08-20,25
11,2021-08-23,24
40,2021-08-28,24
42,2021-08-28,24
80,2021-10-02,24
1,2021-10-13,24
50,2021-10-22,24
25,2021-10-26,23
48,2021-10-31,23
