,date,ft
1,2019-08-26,36
8,2019-08-27,37
19,2019-08-29,36
4,2019-09-05,37
2,2019-09-09,38
25,2019-09-13,39
14,2019-09-13,38
27,2019-09-18,39
24,2019-09-25,40
3,2019-09-26,41
15,2019-09-30,41
28,2019-10-03,42
34,2019-10-04,42
35,2019-10-07,42
11,2019-10-08,42
21,2019-10-08,43
0,2019-10-09,44
18,2019-10-15,44
12,2019-10-17,44
7,2019-10-25,45
23,2019-10-31,45
9,2019-11-01,45
17,2019-11-12,45
26,2019-11-13,46
33,2019-11-18,47
31,2019-11-21,48
6,2019-11-27,49
29,2019-12-02,49
16,2020-01-14,49
22,2020-01-27,50
20,2020-02-19,51
10,2020-02-20,52
13,2020-02-24,52
30,2020-04-22,53
5,2020-04-23,54
32,2021-01-26,55
36,2021-04-07,55
