,date,ft
448,2021-05-11,106
70,2021-05-12,94
77,2021-05-12,104
494,2021-05-12,94
406,2021-05-12,86
9,2021-05-12,104
621,2021-05-12,110
1085,2021-05-12,103
686,2021-05-12,86
673,2021-05-12,110
149,2021-05-12,104
1102,2021-05-13,105
1162,2021-05-21,105
957,2021-05-21,106
348,2021-05-24,109
1006,2021-05-24,111
791,2021-05-24,108
74,2021-05-26,107
1213,2021-05-27,114
516,2021-05-28,108
1338,2021-06-01,109
1290,2021-06-02,109
273,2021-06-02,106
402,2021-06-08,107
1340,2021-06-10,113
111,2021-06-11,107
1196,2021-06-13,104
685,2021-06-16,104
802,2021-06-16,104
585,2021-06-16,86
755,2021-06-16,110
221,2021-06-16,94
1172,2021-06-16,86
691,2021-06-16,110
471,2021-06-16,94
311,2021-06-17,112
1022,2021-06-17,106
1130,2021-06-18,104
238,2021-06-22,103
214,2021-06-22,103
694,2021-06-22,103
197,2021-06-23,103
334,2021-06-23,109
146,2021-06-25,108
40,2021-06-25,102
104,2021-06-28,108
762,2021-07-02,110
599,2021-07-06,108
20,2021-07-06,115
1054,2021-07-07,114
891,2021-07-08,113
306,2021-07-08,115
772,2021-07-08,111
99,2021-07-14,114
972,2021-07-14,115
994,2021-07-15,94
81,2021-07-15,110
1306,2021-07-15,94
1211,2021-07-15,104
430,2021-07-15,110
777,2021-07-15,114
1067,2021-07-15,104
827,2021-07-20,112
1033,2021-07-21,114
960,2021-07-21,114
196,2021-08-04,114
113,2021-08-04,114
681,2021-08-04,113
381,2021-08-05,112
1142,2021-08-05,111
224,2021-08-05,107
251,2021-08-05,113
258,2021-08-10,112
885,2021-08-11,94
259,2021-08-11,110
1200,2021-08-11,104
1084,2021-08-11,110
1129,2021-08-11,94
453,2021-08-11,104
930,2021-08-19,111
1074,2021-08-19,114
636,2021-08-19,114
378,2021-08-20,111
861,2021-08-27,111
1293,2021-08-31,111
748,2021-09-01,111
571,2021-09-08,111
569,2021-09-14,109
538,2021-09-14,111
1294,2021-09-14,111
21,2021-09-15,110
524,2021-09-15,110
1238,2021-09-15,114
598,2021-09-15,114
687,2021-09-15,104
1005,2021-09-15,111
160,2021-09-15,94
411,2021-09-15,94
1031,2021-09-15,104
1170,2021-09-17,111
1133,2021-09-17,110
1137,2021-09-23,106
474,2021-09-24,106
117,2021-09-24,107
754,2021-09-28,107
688,2021-09-30,106
779,2021-10-01,110
319,2021-10-04,108
76,2021-10-04,109
6,2021-10-05,110
350,2021-10-11,108
1320,2021-10-13,108
1026,2021-10-14,112
19,2021-10-14,110
761,2021-10-19,113
440,2021-10-19,110
782,2021-10-25,110
866,2021-10-27,114
1240,2021-10-27,94
1216,2021-10-27,94
1274,2021-10-27,114
67,2021-10-27,104
918,2021-10-27,112
679,2021-10-27,104
200,2021-10-27,110
716,2021-10-27,110
5,2021-10-28,110
282,2021-11-02,112
533,2021-11-03,112
605,2021-11-10,113
7,2021-11-10,111
43,2021-11-10,112
