,date,ft
623,2017-07-13,17
947,2017-07-21,17
889,2017-07-21,17
630,2017-07-21,45
118,2017-07-25,20
678,2017-07-27,20
879,2017-08-03,17
28,2017-08-03,17
897,2017-08-03,12
514,2017-08-03,12
1062,2017-08-09,30
465,2017-08-10,22
460,2017-08-14,19
545,2017-08-16,20
68,2017-08-17,25
1161,2017-08-17,17
707,2017-08-17,17
331,2017-08-18,22
1298,2017-08-22,22
54,2017-08-22,21
1060,2017-08-23,20
183,2017-08-23,12
133,2017-08-23,12
1248,2017-08-25,21
362,2017-08-25,21
955,2017-08-27,20
1180,2017-08-31,17
576,2017-08-31,17
766,2017-09-01,25
643,2017-09-01,22
1199,2017-09-01,21
313,2017-09-01,21
36,2017-09-01,21
666,2017-09-04,24
390,2017-09-05,24
30,2017-09-07,25
1314,2017-09-13,12
186,2017-09-13,12
230,2017-09-14,17
880,2017-09-14,17
750,2017-09-22,25
413,2017-09-22,25
79,2017-09-23,25
444,2017-09-28,25
1043,2017-09-28,25
806,2017-09-28,12
958,2017-09-28,12
577,2017-09-29,17
741,2017-09-29,17
1042,2017-09-30,0
563,2017-09-30,0
125,2017-10-04,28
1279,2017-10-05,17
392,2017-10-05,17
1169,2017-10-11,25
1354,2017-10-11,25
870,2017-10-19,17
1299,2017-10-19,17
185,2017-10-24,25
1311,2017-10-24,25
964,2017-10-24,29
529,2017-10-25,12
260,2017-10-25,12
434,2017-10-26,26
654,2017-10-26,26
1036,2017-10-26,26
151,2017-11-01,26
1163,2017-11-03,17
637,2017-11-03,17
341,2017-11-06,37
1286,2017-11-08,26
48,2017-11-08,26
1261,2017-11-10,27
1252,2017-11-14,31
1044,2017-11-15,27
489,2017-11-15,33
839,2017-11-17,28
499,2017-11-17,28
1269,2017-11-19,26
478,2017-11-19,26
1027,2017-11-20,28
170,2017-11-20,28
1019,2017-11-21,31
322,2017-11-22,12
736,2017-11-22,12
1188,2017-11-22,32
1334,2017-11-25,17
1181,2017-11-25,17
1190,2017-11-30,33
1128,2017-11-30,33
620,2017-12-05,19
1310,2017-12-05,35
1259,2017-12-05,28
142,2017-12-05,36
917,2017-12-07,33
1297,2017-12-07,26
989,2017-12-07,32
46,2017-12-07,26
1117,2017-12-07,33
676,2017-12-15,33
1255,2017-12-15,33
873,2017-12-16,27
979,2017-12-16,34
540,2017-12-16,18
391,2017-12-16,34
285,2017-12-18,33
1114,2017-12-19,33
1295,2017-12-20,26
466,2017-12-20,26
607,2017-12-22,51
787,2017-12-29,17
461,2017-12-29,17
102,2018-01-04,33
1204,2018-01-04,33
1179,2018-01-08,35
653,2018-01-10,34
1228,2018-01-16,26
134,2018-01-16,26
967,2018-01-18,43
244,2018-01-18,33
869,2018-01-18,33
510,2018-01-23,34
366,2018-01-24,33
192,2018-01-24,34
1017,2018-01-26,35
428,2018-01-26,35
297,2018-01-26,27
352,2018-01-26,34
1225,2018-01-26,18
1257,2018-01-29,34
108,2018-01-30,35
638,2018-01-30,37
899,2018-02-01,35
1367,2018-02-02,40
487,2018-02-02,35
1048,2018-02-05,38
1305,2018-02-07,34
338,2018-02-07,34
150,2018-02-09,36
281,2018-02-09,36
767,2018-02-09,27
463,2018-02-09,27
416,2018-02-09,37
1218,2018-02-14,36
1112,2018-02-15,37
368,2018-02-15,39
1341,2018-02-21,37
1059,2018-02-21,37
290,2018-02-21,37
1287,2018-02-23,40
187,2018-02-26,18
371,2018-02-26,18
62,2018-02-28,40
1092,2018-03-01,40
821,2018-03-01,29
847,2018-03-05,20
966,2018-03-05,36
706,2018-03-05,42
1224,2018-03-07,41
963,2018-03-08,41
956,2018-03-12,20
508,2018-03-12,29
1016,2018-03-12,20
83,2018-03-12,42
1183,2018-03-12,29
507,2018-03-12,36
954,2018-03-12,36
236,2018-03-14,42
0,2018-03-19,29
1266,2018-03-19,36
305,2018-03-19,36
626,2018-03-19,42
566,2018-03-19,20
734,2018-03-19,20
401,2018-03-19,29
856,2018-03-20,57
1363,2018-03-21,36
976,2018-03-21,36
15,2018-03-21,52
824,2018-03-21,42
161,2018-03-22,43
1330,2018-03-26,42
1101,2018-03-26,42
441,2018-04-04,20
1345,2018-04-04,20
634,2018-04-05,29
450,2018-04-05,29
153,2018-04-06,42
515,2018-04-09,44
1121,2018-04-12,43
225,2018-04-12,42
255,2018-04-12,42
266,2018-04-12,42
561,2018-04-18,36
1229,2018-04-18,36
1104,2018-04-19,42
182,2018-04-19,42
850,2018-04-22,43
