,date,ft
369,2020-12-10,11
225,2020-12-10,9
356,2020-12-13,11
262,2020-12-16,11
293,2021-01-22,11
296,2021-01-25,11
142,2021-02-08,11
99,2021-02-23,11
76,2021-02-25,11
361,2021-03-23,11
330,2021-03-25,11
109,2021-03-30,11
326,2021-04-07,11
94,2021-04-14,11
200,2021-04-20,11
167,2021-04-22,11
268,2021-04-28,11
331,2021-05-13,11
122,2021-05-18,10
47,2021-05-19,10
240,2021-05-25,10
194,2021-06-02,10
10,2021-06-06,11
236,2021-06-17,10
74,2021-06-21,10
367,2021-06-30,10
164,2021-07-08,10
116,2021-07-15,10
34,2021-07-29,10
190,2021-07-30,10
219,2021-08-11,10
156,2021-08-11,11
301,2021-08-24,12
238,2021-08-25,11
264,2021-09-08,11
263,2021-09-08,11
78,2021-09-10,11
311,2021-09-23,13
128,2021-09-24,11
348,2021-10-05,12
354,2021-10-07,11
276,2021-10-15,14
302,2021-10-21,14
58,2021-11-04,14
191,2021-11-05,11
144,2021-11-08,11
