,date,ft
246,2014-06-24,0
50,2014-06-26,0
57,2014-07-03,0
313,2014-07-09,0
184,2014-07-24,0
344,2014-08-18,0
347,2014-08-28,0
42,2014-09-04,0
363,2014-09-10,0
157,2014-09-22,0
329,2014-09-29,0
218,2014-10-02,0
24,2014-10-23,0
22,2014-10-24,0
53,2014-11-04,0
90,2014-11-09,0
362,2014-11-14,0
275,2014-11-18,0
269,2014-11-20,0
187,2014-11-21,0
153,2014-12-05,0
201,2014-12-17,0
33,2015-01-15,0
150,2015-01-20,0
183,2015-01-22,2
328,2015-01-22,0
325,2015-01-23,0
297,2015-01-26,4
177,2015-01-27,3
353,2015-01-28,0
86,2015-02-02,0
3,2015-02-03,4
280,2015-02-10,0
315,2015-02-10,0
52,2015-02-17,0
321,2015-02-25,0
289,2015-02-25,3
25,2015-02-26,4
215,2015-03-02,3
336,2015-03-02,4
300,2015-03-05,4
98,2015-03-09,0
277,2015-03-10,5
132,2015-03-11,6
266,2015-03-12,0
166,2015-03-20,5
29,2015-03-26,5
73,2015-04-01,9
48,2015-04-01,4
253,2015-04-01,0
210,2015-04-02,8
345,2015-04-07,5
181,2015-04-10,4
39,2015-04-15,4
340,2015-04-21,7
332,2015-04-21,5
130,2015-04-21,5
341,2015-04-24,9
77,2015-04-24,9
70,2015-04-24,7
310,2015-04-27,5
288,2015-04-28,10
259,2015-04-30,0
182,2015-05-01,9
281,2015-05-01,7
213,2015-05-01,0
193,2015-05-05,8
103,2015-05-06,7
124,2015-05-08,8
102,2015-05-11,5
69,2015-05-12,8
6,2015-05-12,8
305,2015-05-14,8
145,2015-05-19,8
32,2015-05-26,8
7,2015-05-28,8
188,2015-05-28,0
195,2015-06-01,0
309,2015-06-04,8
196,2015-06-10,8
314,2015-06-17,0
286,2015-06-22,9
244,2015-06-23,9
220,2015-06-24,8
327,2015-07-01,8
291,2015-07-20,8
352,2015-07-31,8
299,2015-08-06,0
366,2015-08-10,8
216,2015-08-10,0
113,2015-08-20,9
49,2015-08-27,9
101,2015-09-02,8
2,2015-09-16,8
208,2015-09-28,9
254,2015-09-29,8
368,2015-09-29,8
4,2015-10-07,9
17,2015-10-14,9
30,2015-10-22,8
206,2015-11-03,8
114,2015-11-05,7
162,2015-11-06,6
59,2015-11-23,8
241,2015-11-26,8
271,2015-12-18,8
235,2016-01-13,9
212,2016-01-14,8
139,2016-01-20,7
223,2016-01-20,8
55,2016-01-21,6
118,2016-02-10,6
65,2016-02-19,6
38,2016-03-07,8
228,2016-03-10,6
148,2016-03-23,7
290,2016-03-25,7
68,2016-04-06,8
11,2016-04-07,8
261,2016-04-14,8
84,2016-04-20,8
19,2016-04-25,8
186,2016-05-05,7
222,2016-05-13,7
202,2016-06-03,7
16,2016-06-13,6
318,2016-06-16,7
339,2016-06-24,6
180,2016-07-01,6
203,2016-07-14,8
204,2016-07-19,6
91,2016-07-19,7
117,2016-07-20,7
176,2016-07-22,6
143,2016-08-04,7
105,2016-08-11,7
31,2016-08-19,8
152,2016-08-23,7
20,2016-08-25,7
1,2016-09-01,7
13,2016-09-10,7
355,2016-09-20,7
351,2016-09-29,7
88,2016-10-06,7
282,2016-10-13,7
133,2016-10-18,7
294,2016-10-19,8
100,2016-10-28,8
232,2016-11-02,8
179,2016-11-11,8
365,2016-11-13,8
324,2016-11-17,8
159,2016-11-21,7
270,2016-12-01,7
252,2016-12-07,8
12,2016-12-15,7
214,2017-01-06,7
285,2017-01-27,8
115,2017-02-03,7
15,2017-02-08,8
18,2017-02-10,7
82,2017-02-17,7
306,2017-02-22,7
319,2017-02-23,8
260,2017-03-03,7
247,2017-03-09,7
322,2017-03-15,7
89,2017-03-16,7
171,2017-03-17,8
146,2017-03-24,8
248,2017-03-28,8
357,2017-03-29,7
107,2017-03-30,8
56,2017-03-30,9
323,2017-04-28,9
337,2017-05-11,9
312,2017-05-15,10
106,2017-05-18,10
51,2017-05-25,8
205,2017-05-25,8
234,2017-05-25,7
279,2017-06-06,10
192,2017-06-09,10
134,2017-06-13,10
126,2017-06-14,10
80,2017-06-23,10
110,2017-07-13,8
255,2017-07-13,10
43,2017-08-30,8
138,2017-09-01,7
125,2017-09-08,10
197,2017-09-14,10
209,2017-10-05,7
61,2017-10-20,10
147,2017-10-25,10
92,2017-11-01,7
342,2017-11-10,7
121,2017-11-17,7
343,2017-11-28,7
45,2017-12-07,7
251,2017-12-08,7
257,2017-12-15,10
46,2017-12-19,10
185,2018-01-09,10
272,2018-01-16,7
37,2018-02-14,7
154,2018-02-27,7
83,2018-03-28,7
173,2018-04-13,7
67,2018-04-17,8
85,2018-04-18,8
230,2018-04-20,8
265,2018-04-20,9
168,2018-04-23,7
334,2018-05-09,9
360,2018-05-11,10
60,2018-05-23,9
5,2018-05-23,7
64,2018-05-24,9
189,2018-06-06,9
229,2018-06-06,9
26,2018-06-06,9
163,2018-06-18,9
303,2018-06-25,9
141,2018-07-03,10
169,2018-07-03,9
104,2018-07-25,9
226,2018-08-14,9
75,2018-08-27,9
119,2018-08-30,11
333,2018-08-31,9
165,2018-09-18,7
273,2018-10-08,9
96,2018-10-09,10
231,2018-11-02,9
36,2018-11-06,9
346,2018-11-14,9
123,2018-11-14,9
79,2018-11-28,9
359,2018-11-29,9
66,2018-11-30,9
120,2018-12-14,9
72,2018-12-18,9
338,2019-01-15,9
21,2019-01-16,10
87,2019-01-21,9
256,2019-02-14,9
108,2019-02-26,11
217,2019-03-11,9
44,2019-03-21,12
160,2019-03-25,9
267,2019-04-01,9
129,2019-04-13,11
62,2019-04-18,11
364,2019-04-23,11
298,2019-04-30,11
221,2019-05-01,11
95,2019-05-03,12
307,2019-05-03,12
211,2019-05-08,9
111,2019-05-09,9
137,2019-05-10,9
198,2019-05-13,12
172,2019-05-13,12
170,2019-05-14,12
249,2019-05-30,13
54,2019-06-03,12
242,2019-06-05,12
316,2019-06-19,13
287,2019-06-19,13
335,2019-06-20,12
0,2019-06-25,13
250,2019-06-26,9
135,2019-07-01,13
41,2019-07-31,12
227,2019-07-31,13
151,2019-07-31,13
283,2019-08-05,12
81,2019-08-27,13
35,2019-08-28,12
127,2019-08-29,12
149,2019-09-25,12
358,2019-10-04,14
237,2019-10-09,14
199,2019-10-29,12
349,2019-11-04,14
278,2019-11-07,14
112,2019-11-11,14
63,2019-11-13,14
140,2019-11-20,14
158,2019-11-22,14
28,2019-11-28,14
239,2019-12-10,15
40,2019-12-11,15
131,2020-01-14,15
284,2020-02-04,14
14,2020-02-16,15
224,2020-02-27,15
274,2020-03-11,15
320,2020-03-24,13
71,2020-03-27,13
258,2020-03-31,12
308,2020-04-01,15
233,2020-04-02,13
97,2020-04-21,15
8,2020-04-23,13
27,2020-04-24,13
175,2020-05-01,12
174,2020-05-07,11
292,2020-05-08,11
161,2020-05-12,12
9,2020-05-19,11
243,2020-05-29,11
295,2020-06-03,11
136,2020-06-30,15
304,2020-07-02,11
350,2020-09-14,11
93,2020-09-17,11
23,2020-10-05,11
155,2020-10-07,11
178,2020-10-16,12
245,2020-10-29,11
207,2020-10-30,12
317,2020-11-02,12
